,total,bad,badrate,UserInfo_7_pinyin
shandong,1430,159.0,0.1112,shandong
hunan,748,75.0,0.1003,hunan
sichuan,809,81.0,0.1001,sichuan
tianjin,122,12.0,0.0984,tianjin
hainan,112,11.0,0.0982,hainan
jilin,203,19.0,0.0936,jilin
hubei,747,63.0,0.0843,hubei
jiangxi,454,36.0,0.0793,jiangxi
zhongqing,322,25.0,0.0776,zhongqing
hebei,647,49.0,0.0757,hebei
guangdong,2710,197.0,0.0727,guangdong
guizhou,310,22.0,0.071,guizhou
jiangsu,1224,84.0,0.0686,jiangsu
heilongjiang,293,20.0,0.0683,heilongjiang
anhui,606,41.0,0.0677,anhui
liaoning,374,25.0,0.0668,liaoning
henan,862,53.0,0.0615,henan
neimenggu,264,16.0,0.0606,neimenggu
shanxi,892,52.0,0.0583,shanxi
zhejiang,1540,87.0,0.0565,zhejiang
gansu,186,10.0,0.0538,gansu
fujian,1339,69.0,0.0515,fujian
guangxi,631,32.0,0.0507,guangxi
beijing,459,22.0,0.0479,beijing
ningxia,110,5.0,0.0455,ningxia
yunnan,454,14.0,0.0308,yunnan
qinghai,35,1.0,0.0286,qinghai
xinjiang,129,2.0,0.0155,xinjiang
shanghai,28,0.0,0.0,shanghai
xicang,7,0.0,0.0,xicang
